국문역명,영문역명,전산역명,전산약어,XROIS역코드,KROIS역코드,역키로정,매표단말코드,주소,노선,위도,경도,폐역여부
별내,Byeollae,별내,별내,3900925,140062,140061,,경기도 남양주시 경춘북로 375,경춘선,37.6422839668576,127.127483398034,아니오
별내별가람,ByeollaeByeolgaram,별내별가람,별가람,3901118,290044,290044,,경기도 남양주시 별내동 836,수도권 전철 4호선,37.66752710724392,127.11548549748902,아니오
별어곡,Byeoreogok,별어곡,별어곡,3900588,610064,610064,0198,강원특별자치도 정선군 남면 칠현로 83,정선선,37.26986059433465,128.73966604838293,아니오
병점,Byeongjeom,병점,병점,3900049,010487,010487,0303,경기도 화성시 떡전골로 97,",경부선,병점기지",37.2068032271729,127.033244621115,아니오
병점차,Byeongjeom Depot,병점차,병점차,3900858,A10487,1G0014,,경기도 오산시 외삼미동 614,병점기지선,37.19550548555379,127.05057541222179,아니오
보산,Bosan,보산,보산,3900411,130517,130515,,경기도 동두천시 평화로 2539,경원선,37.9143180220514,127.057237016191,아니오
보성,Boseong,보성,보성,3900718,882328,882211,0069,전라남도 보성군 보성읍 현충로 90,경전선,34.7668011875784,127.08222878088917,아니오
보정,Bojeong,보정,보정,3900492,230335,230349,,경기도 용인시 기흥구 용구대로 지하 2560,분당선,37.31279835125067,127.1083300820811,아니오
보천,Bocheon,보천,보천,3900287,050515,050515,0295,충청북도 음성군 원남면 충청대로 668-10,충북선,36.87595410065276,127.6577078075872,아니오
복정,Bokjeong,복정,복정,3900480,230156,230165,0868,서울특별시 송파구 송파대로 지하 6,분당선,37.46909181121827,127.12659122484139,아니오
본청,KORAIL Central Headquarters,본청,본청,3900000,000000,000000,,,,,,아니오
봉덕,Bongdeok,봉덕,봉덕,3900266,041337,041210,0378,전라남도 순천시 황전면 봉덕리 55-1,전라선,35.133837623773005,127.45660992832603,아니오
봉림,Bongnim,봉림,봉림,3900182,023181,023047,0221,경상북도 군위군 산성면 갑티로 79,중앙선,36.091871673187,128.7228765739343,예
봉명,Bongmyeong,봉명,봉명,3900318,080013,080013,,충청남도 천안시 동남구 차돌로 51,장항선,36.8012571994737,127.135835482126,아니오
봉성,Bongseong,봉성,봉성,3900554,600257,600257,0434,경상북도 봉화군 봉성면 옥마로 173,영동선,36.89423537475908,128.82983721536507,아니오
